interaction_id,lead_id,employee_id,interaction_date,interaction_type,customer_response,objection_category,follow_up_required,next_follow_up_date,interaction_outcome,remarks
117,36,9,2026-08-18,Call,Interested,No Objection,True,2026-08-20,Converted,Customer appreciated the itinerary.
118,36,4,2026-08-24,Call,Interested,No Objection,True,2026-08-30,Converted,Quotation shared successfully.
119,36,7,2026-08-29,WhatsApp,Very Interested,No Objection,True,2026-09-02,Converted,Quotation shared successfully.
120,36,11,2026-09-02,Email,Very Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
121,37,1,2025-01-08,Call,Interested,No Objection,False,,Quotation Shared,Quotation shared successfully.
122,38,11,2026-08-29,Email,Very Interested,No Objection,True,2026-09-03,Converted,Quotation shared successfully.
123,38,4,2026-08-30,Call,Very Interested,No Objection,True,2026-09-01,Converted,Customer appreciated the itinerary.
124,38,5,2026-09-07,Call,Interested,No Objection,True,2026-09-11,Converted,Booking confirmed.
125,38,6,2026-09-06,WhatsApp,Very Interested,No Objection,True,2026-09-12,Converted,Booking confirmed.
126,38,11,2026-09-08,Email,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
127,39,1,2026-02-26,Call,Interested,No Objection,True,2026-03-01,Follow-up Scheduled,Customer is interested in proceeding.
128,39,9,2026-02-27,SMS,Interested,No Objection,False,,Quotation Shared,Quotation shared successfully.
129,40,11,2026-05-12,Call,No Response,No Objection,False,,Quotation Shared,Quotation shared successfully.
130,42,5,2025-01-02,WhatsApp,Interested,No Objection,True,2025-01-08,Follow-up Scheduled,Booking confirmed.
131,42,6,2025-01-06,Email,Need More Information,Budget Issue,True,2025-01-11,Follow-up Scheduled,Budget exceeds customer's expectation.
132,42,5,2025-01-05,Email,Need Time,Travel Date Issue,False,,Quotation Shared,Requested a different departure date.
133,43,1,2026-03-25,WhatsApp,Interested,No Objection,False,,Quotation Shared,Quotation shared successfully.
134,44,8,2025-03-30,Call,No Response,No Objection,True,2025-04-05,Lost,Customer appreciated the itinerary.
135,44,3,2025-03-31,SMS,Not Interested,Payment Issue,True,2025-04-05,Lost,Requested EMI option.
136,44,12,2025-04-03,Call,No Response,No Objection,True,2025-04-05,Lost,Quotation shared successfully.
137,44,5,2025-04-05,Call,No Response,No Objection,True,2025-04-10,Lost,Quotation shared successfully.
138,44,6,2025-04-05,Email,Not Interested,Competitor,False,,Lost,Customer is comparing another travel company.
139,45,9,2024-04-09,WhatsApp,Very Interested,No Objection,True,2024-04-16,Converted,Customer appreciated the itinerary.
140,45,12,2024-04-11,Email,Very Interested,No Objection,False,,Converted,Customer is interested in proceeding.
141,47,11,2024-03-25,WhatsApp,No Response,No Objection,True,2024-03-31,Lost,Customer is interested in proceeding.
142,47,7,2024-03-30,WhatsApp,No Response,No Objection,True,2024-04-02,Lost,Booking confirmed.
143,47,10,2024-04-02,WhatsApp,Not Interested,No Objection,True,2024-04-06,Lost,Customer appreciated the itinerary.
144,47,10,2024-04-11,SMS,No Response,No Objection,True,2024-04-14,Lost,Quotation shared successfully.
145,47,5,2024-04-07,WhatsApp,No Response,No Objection,True,2024-04-14,Lost,Quotation shared successfully.
146,47,11,2024-04-13,Call,No Response,No Objection,False,,Lost,Customer appreciated the itinerary.
147,48,7,2025-11-03,WhatsApp,Need Time,Budget Issue,False,,Quotation Shared,Customer requested a lower-priced package.
148,49,9,2025-10-15,WhatsApp,Interested,No Objection,False,,Quotation Shared,Customer appreciated the itinerary.
149,51,7,2024-12-23,Call,Need Time,Office Leave,True,2024-12-29,Follow-up Scheduled,Customer will confirm after leave approval.
150,51,12,2024-12-27,Email,Interested,No Objection,True,2024-12-31,Follow-up Scheduled,Customer is interested in proceeding.
151,51,7,2025-01-01,WhatsApp,Need More Information,Budget Issue,True,2025-01-07,Follow-up Scheduled,Customer requested a lower-priced package.
152,51,8,2024-12-29,Call,Need More Information,Travel Date Issue,False,,Quotation Shared,Office leave not approved yet.
153,52,11,2026-02-18,Call,Need More Information,Budget Issue,True,2026-02-21,Follow-up Scheduled,Waiting for salary before confirming.
154,52,6,2026-02-21,Call,Need Time,Office Leave,False,,Quotation Shared,Customer will confirm after leave approval.
155,53,6,2025-06-14,Email,Interested,No Objection,True,2025-06-17,Converted,Booking confirmed.
156,53,8,2025-06-15,Call,Very Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
157,54,3,2025-12-27,Email,Need Time,Need Customization,True,2025-12-31,Follow-up Scheduled,Customer requested a customized itinerary.
158,54,7,2026-01-01,WhatsApp,Need Time,Budget Issue,False,,Quotation Shared,Waiting for salary before confirming.
159,55,8,2024-04-01,Call,Interested,No Objection,True,2024-04-08,Follow-up Scheduled,Booking confirmed.
160,55,9,2024-04-02,WhatsApp,Need Time,Budget Issue,True,2024-04-05,Follow-up Scheduled,Budget exceeds customer's expectation.
161,55,10,2024-04-10,Call,Need More Information,Competitor,False,,Quotation Shared,Waiting for competitor quotation.
162,56,3,2026-08-01,Call,No Response,No Objection,True,2026-08-04,Lost,Quotation shared successfully.
163,56,4,2026-08-04,Email,Not Interested,Budget Issue,True,2026-08-11,Lost,Waiting for salary before confirming.
164,56,9,2026-08-08,WhatsApp,Not Interested,Office Leave,True,2026-08-12,Lost,Customer will confirm after leave approval.
165,56,6,2026-08-09,WhatsApp,Not Interested,Office Leave,True,2026-08-11,Lost,Waiting for office leave approval.
166,56,1,2026-08-10,WhatsApp,Not Interested,Competitor,True,2026-08-12,Lost,Customer is comparing another travel company.
167,56,10,2026-08-21,Email,Not Interested,Health Issue,False,,Lost,Customer postponed due to health reasons.
168,57,10,2026-04-20,WhatsApp,Interested,No Objection,True,2026-04-27,Converted,Customer appreciated the itinerary.
169,57,7,2026-04-23,Call,Interested,No Objection,True,2026-04-27,Converted,Booking confirmed.
170,57,12,2026-05-01,WhatsApp,Interested,No Objection,True,2026-05-05,Converted,Quotation shared successfully.
171,57,6,2026-04-30,WhatsApp,Interested,No Objection,True,2026-05-04,Converted,Quotation shared successfully.
172,57,3,2026-04-27,Call,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
173,58,3,2025-01-10,Call,Very Interested,No Objection,True,2025-01-17,Converted,Customer appreciated the itinerary.
174,58,3,2025-01-13,WhatsApp,Interested,No Objection,True,2025-01-17,Converted,Booking confirmed.
175,58,2,2025-01-21,Call,Interested,No Objection,True,2025-01-23,Converted,Booking confirmed.
176,58,7,2025-01-21,Email,Very Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
177,59,3,2024-09-02,Email,Interested,No Objection,True,2024-09-09,Follow-up Scheduled,Quotation shared successfully.
178,59,12,2024-09-02,Call,Need More Information,Budget Issue,False,,Quotation Shared,Customer requested a lower-priced package.
179,60,12,2025-03-31,Call,No Response,No Objection,False,,Quotation Shared,Customer is interested in proceeding.
180,61,5,2025-11-13,WhatsApp,Need More Information,Need Customization,True,2025-11-20,Follow-up Scheduled,Customer requested a customized itinerary.
181,61,5,2025-11-15,Call,Need More Information,Travel Date Issue,True,2025-11-21,Follow-up Scheduled,Office leave not approved yet.
182,61,8,2025-11-22,Call,Need Time,Competitor,False,,Quotation Shared,Waiting for competitor quotation.
183,62,7,2025-10-24,Call,Not Interested,Office Leave,True,2025-10-30,Lost,Customer will confirm after leave approval.
184,62,3,2025-10-29,Call,No Response,No Objection,True,2025-11-01,Lost,Quotation shared successfully.
185,62,11,2025-10-29,WhatsApp,No Response,No Objection,True,2025-11-05,Lost,Customer appreciated the itinerary.
186,62,11,2025-11-01,WhatsApp,No Response,No Objection,True,2025-11-04,Lost,Customer is interested in proceeding.
187,62,5,2025-11-05,WhatsApp,No Response,No Objection,True,2025-11-12,Lost,Quotation shared successfully.
188,62,10,2025-11-17,Call,Not Interested,Competitor,False,,Lost,Waiting for competitor quotation.
189,63,5,2024-05-24,Call,Need Time,Travel Date Issue,False,,Quotation Shared,Travel dates do not match schedule.
190,64,2,2025-08-10,Call,No Response,No Objection,True,2025-08-13,Lost,Customer appreciated the itinerary.
191,64,5,2025-08-11,Call,Not Interested,No Objection,True,2025-08-14,Lost,Customer appreciated the itinerary.
192,64,6,2025-08-20,Email,No Response,No Objection,False,,Lost,Booking confirmed.
193,65,8,2025-03-15,Call,Interested,No Objection,True,2025-03-19,Follow-up Scheduled,Customer is interested in proceeding.
194,65,6,2025-03-18,Call,Interested,No Objection,True,2025-03-21,Follow-up Scheduled,Customer appreciated the itinerary.
195,65,10,2025-03-20,Call,Interested,No Objection,False,,Quotation Shared,Customer appreciated the itinerary.
196,66,3,2025-05-08,WhatsApp,Need Time,Budget Issue,False,,Quotation Shared,Waiting for salary before confirming.
197,67,3,2025-04-24,WhatsApp,Need Time,Family Decision,True,2025-04-27,Follow-up Scheduled,Spouse approval pending.
198,67,2,2025-04-27,WhatsApp,Need More Information,Travel Date Issue,True,2025-04-29,Follow-up Scheduled,Travel dates do not match schedule.
199,67,7,2025-05-03,Email,Need More Information,Travel Date Issue,False,,Quotation Shared,Requested a different departure date.
200,69,8,2025-07-09,Call,Interested,No Objection,False,,Quotation Shared,Customer is interested in proceeding.
201,71,6,2025-02-05,WhatsApp,Very Interested,No Objection,True,2025-02-12,Converted,Booking confirmed.
202,71,8,2025-02-09,WhatsApp,Very Interested,No Objection,True,2025-02-15,Converted,Booking confirmed.
203,71,10,2025-02-14,Call,Interested,No Objection,False,,Converted,Booking confirmed.
204,72,8,2026-01-12,WhatsApp,Not Interested,Need Customization,True,2026-01-16,Lost,Customer requested a customized itinerary.
205,72,2,2026-01-18,Call,No Response,No Objection,True,2026-01-21,Lost,Customer is interested in proceeding.
206,72,5,2026-01-17,Call,Not Interested,Budget Issue,True,2026-01-19,Lost,Customer requested a lower-priced package.
207,72,8,2026-01-24,Call,No Response,No Objection,True,2026-01-28,Lost,Quotation shared successfully.
208,72,9,2026-01-30,Email,No Response,No Objection,False,,Lost,Booking confirmed.
209,73,5,2026-05-31,WhatsApp,Need Time,Competitor,False,,Quotation Shared,Customer is comparing another travel company.
210,74,11,2025-12-09,Call,Very Interested,No Objection,True,2025-12-13,Converted,Customer appreciated the itinerary.
211,74,8,2025-12-15,WhatsApp,Very Interested,No Objection,True,2025-12-17,Converted,Quotation shared successfully.
212,74,6,2025-12-21,Call,Very Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
213,75,2,2025-12-07,Call,Need More Information,Budget Issue,True,2025-12-10,Follow-up Scheduled,Budget exceeds customer's expectation.
214,75,4,2025-12-09,Call,Need Time,Travel Date Issue,False,,Quotation Shared,Requested a different departure date.
215,76,3,2026-01-23,Call,Interested,No Objection,True,2026-01-30,Converted,Customer appreciated the itinerary.
216,76,9,2026-01-29,WhatsApp,Very Interested,No Objection,False,,Converted,Quotation shared successfully.
217,77,4,2026-01-21,Email,Very Interested,No Objection,True,2026-01-24,Converted,Customer appreciated the itinerary.
218,77,11,2026-01-22,Call,Interested,No Objection,True,2026-01-29,Converted,Booking confirmed.
219,77,10,2026-01-30,Call,Interested,No Objection,True,2026-02-02,Converted,Booking confirmed.
220,77,12,2026-01-27,WhatsApp,Very Interested,No Objection,True,2026-01-30,Converted,Booking confirmed.
221,77,7,2026-02-03,WhatsApp,Interested,No Objection,False,,Converted,Booking confirmed.
222,78,4,2025-01-27,Email,Very Interested,No Objection,True,2025-01-31,Converted,Quotation shared successfully.
223,78,8,2025-02-01,Email,Interested,No Objection,False,,Converted,Quotation shared successfully.
224,79,4,2024-09-09,Call,No Response,No Objection,True,2024-09-15,Lost,Customer appreciated the itinerary.
225,79,4,2024-09-14,Call,Not Interested,Competitor,True,2024-09-19,Lost,Customer is comparing another travel company.
226,79,11,2024-09-15,Call,No Response,No Objection,True,2024-09-20,Lost,Quotation shared successfully.
227,79,5,2024-09-18,WhatsApp,No Response,No Objection,False,,Lost,Booking confirmed.
228,80,7,2026-01-14,WhatsApp,Interested,No Objection,False,,Quotation Shared,Booking confirmed.
229,81,10,2026-02-10,Email,Interested,No Objection,True,2026-02-17,Follow-up Scheduled,Customer is interested in proceeding.
230,81,10,2026-02-17,SMS,Need Time,Travel Date Issue,False,,Quotation Shared,Office leave not approved yet.
231,82,11,2024-11-02,Call,No Response,No Objection,True,2024-11-06,Lost,Customer appreciated the itinerary.
232,82,11,2024-11-03,WhatsApp,Not Interested,Family Decision,False,,Lost,Spouse approval pending.
233,83,4,2023-10-07,Call,No Response,No Objection,True,2023-10-11,Follow-up Scheduled,Customer appreciated the itinerary.
234,83,4,2023-10-11,WhatsApp,Interested,No Objection,False,,Quotation Shared,Customer is interested in proceeding.
235,84,4,2026-05-25,Email,No Response,No Objection,True,2026-05-31,Lost,Booking confirmed.
236,84,11,2026-05-28,WhatsApp,No Response,No Objection,True,2026-06-04,Lost,Quotation shared successfully.
237,84,3,2026-06-04,Call,No Response,No Objection,True,2026-06-06,Lost,Customer appreciated the itinerary.
238,84,4,2026-06-01,WhatsApp,No Response,No Objection,False,,Lost,Booking confirmed.
239,85,5,2026-02-22,Call,Interested,No Objection,True,2026-02-28,Follow-up Scheduled,Quotation shared successfully.
240,85,10,2026-02-23,Email,Interested,No Objection,False,,Quotation Shared,Quotation shared successfully.
241,86,12,2026-04-16,Call,Interested,No Objection,True,2026-04-22,Follow-up Scheduled,Customer appreciated the itinerary.
242,86,5,2026-04-20,Call,Need More Information,Payment Issue,True,2026-04-24,Follow-up Scheduled,Payment method discussion pending.
243,86,5,2026-04-23,Call,Interested,No Objection,False,,Quotation Shared,Quotation shared successfully.
244,87,12,2023-09-09,Call,Interested,No Objection,False,,Quotation Shared,Customer appreciated the itinerary.
245,88,11,2024-04-10,Call,Very Interested,No Objection,True,2024-04-13,Converted,Customer appreciated the itinerary.
246,88,4,2024-04-13,WhatsApp,Very Interested,No Objection,True,2024-04-18,Converted,Customer is interested in proceeding.
247,88,6,2024-04-19,WhatsApp,Very Interested,No Objection,True,2024-04-21,Converted,Booking confirmed.
248,88,12,2024-04-21,Call,Interested,No Objection,True,2024-04-26,Converted,Customer is interested in proceeding.
249,88,6,2024-04-29,Call,Interested,No Objection,False,,Converted,Customer is interested in proceeding.
250,89,10,2024-10-10,Call,Very Interested,No Objection,True,2024-10-12,Converted,Booking confirmed.
251,89,5,2024-10-15,WhatsApp,Interested,No Objection,True,2024-10-18,Converted,Customer appreciated the itinerary.
252,89,10,2024-10-18,Call,Interested,No Objection,True,2024-10-23,Converted,Quotation shared successfully.
253,89,1,2024-10-25,Call,Very Interested,No Objection,False,,Converted,Customer appreciated the itinerary.
254,90,11,2025-05-26,Call,Interested,No Objection,True,2025-06-01,Follow-up Scheduled,Customer appreciated the itinerary.
255,90,11,2025-05-28,Call,No Response,No Objection,False,,Quotation Shared,Customer appreciated the itinerary.
256,92,3,2025-05-27,WhatsApp,Not Interested,Need Customization,True,2025-05-29,Lost,Asked to include extra sightseeing.
257,92,10,2025-05-31,Call,No Response,No Objection,True,2025-06-02,Lost,Customer appreciated the itinerary.
258,92,9,2025-06-01,Call,Not Interested,Travel Date Issue,True,2025-06-04,Lost,Office leave not approved yet.
259,92,5,2025-06-10,SMS,Not Interested,Need Customization,False,,Lost,Asked to include extra sightseeing.
260,93,7,2025-11-27,SMS,Need More Information,Travel Date Issue,True,2025-11-30,Follow-up Scheduled,Travel dates do not match schedule.
261,93,7,2025-11-28,Email,Need More Information,Competitor,True,2025-12-01,Follow-up Scheduled,Waiting for competitor quotation.
262,93,7,2025-11-30,Call,Interested,No Objection,True,2025-12-05,Follow-up Scheduled,Quotation shared successfully.
263,93,7,2025-12-10,Email,Need Time,Need Customization,False,,Quotation Shared,Customer requested a customized itinerary.
264,94,2,2026-04-18,Call,No Response,No Objection,True,2026-04-25,Lost,Customer is interested in proceeding.
