payment_id,booking_id,payment_timestamp,payment_method,payment_status,transaction_id,amount_paid,refund_amount,currency
73,73,2026-06-22 03:33:46,UPI,Paid,TPPAY9Q82EC5NJG,81310.0,0.0,INR
74,74,2025-06-17 16:24:26,UPI,Paid,TPPAYNZKFB6THT6,130620.0,0.0,INR
75,75,2025-02-24 15:03:18,Credit Card,Paid,TPPAYOVS9S1V886,33480.0,0.0,INR
76,76,2026-07-02 06:42:17,Net Banking,Paid,TPPAY1RAPP6PSS3,28061.1,0.0,INR
77,77,2026-06-23 23:24:34,UPI,Paid,TPPAYNYWC3TRB45,83645.0,0.0,INR
78,78,2026-08-12 15:45:19,Credit Card,Paid,TPPAY5Z8P2PHBYD,81310.0,0.0,INR
79,79,2026-08-16 05:57:32,Net Banking,Pending,TPPAYZDF7FP8G9V,0.0,0.0,INR
80,80,2024-02-19 02:20:10,UPI,Paid,TPPAYD8JSJ2FF25,74691.2,0.0,INR
81,81,2024-02-21 09:29:24,Debit Card,Paid,TPPAYGEIKBP1Y0S,70023.0,0.0,INR
82,82,2024-12-24 18:10:33,UPI,Paid,TPPAY5EXRBPPTIA,31139.1,0.0,INR
83,83,2026-06-12 14:30:42,UPI,Paid,TPPAYVA7Q4ZZW2Z,82467.6,0.0,INR
84,84,2026-06-21 17:44:29,Net Banking,Paid,TPPAY3NI6D099AN,48206.4,0.0,INR
85,85,2025-03-06 23:58:27,Credit Card,Paid,TPPAYO8J9E5NEFZ,44756.0,0.0,INR
86,86,2024-09-28 19:31:38,UPI,Paid,TPPAYO7P20EY4HU,27215.6,0.0,INR
87,87,2026-06-26 02:17:09,Wallet,Paid,TPPAY39TN0CHB85,27189.0,0.0,INR
88,88,2024-07-12 11:06:17,Wallet,Paid,TPPAYYLFPI9KL29,49284.0,0.0,INR
89,89,2026-08-16 15:22:37,Debit Card,Refunded,TPPAY1CUFZ7ZD8D,162620.0,162620.0,INR
90,90,2024-04-19 05:39:18,Credit Card,Refunded,TPPAYNDX6PS7RVG,75831.0,75831.0,INR
91,91,2026-09-05 10:12:24,UPI,Pending,TPPAYGDAVFFA50T,0.0,0.0,INR
92,92,2026-07-09 21:56:34,UPI,Paid,TPPAYL5RO724931,32085.0,0.0,INR
93,93,2024-05-18 21:02:49,UPI,Paid,TPPAY1NM920YO6M,44518.5,0.0,INR
94,94,2026-01-01 01:16:58,Net Banking,Paid,TPPAYK2KB1HB9AN,28712.0,0.0,INR
95,95,2026-07-23 01:51:40,Debit Card,Paid,TPPAYRM9HIVP40H,48460.0,0.0,INR
96,96,2026-07-28 19:10:37,UPI,Paid,TPPAYQ61T7IDC7K,49284.0,0.0,INR
97,97,2026-07-10 13:40:44,UPI,Paid,TPPAYTFSIT7991X,116151.0,0.0,INR
98,98,2025-03-11 16:28:06,UPI,Paid,TPPAYD0ESDVESR6,58030.0,0.0,INR
99,99,2026-09-02 00:15:26,Debit Card,Paid,TPPAY4YRVY4MCRH,21534.0,0.0,INR
100,100,2026-08-19 14:47:43,Credit Card,Pending,TPPAYSAK09SDFU7,0.0,0.0,INR
101,101,2026-07-18 14:09:54,Debit Card,Paid,TPPAY4HJ3AKB2IJ,20070.0,0.0,INR
102,102,2026-08-28 13:49:19,UPI,Paid,TPPAYQ44LKZ34AJ,49284.0,0.0,INR
103,103,2025-06-22 16:44:28,UPI,Paid,TPPAYPM7VOK2PM6,10987.0,0.0,INR
104,104,2026-07-25 07:05:19,Debit Card,Paid,TPPAY22COR73RXX,18710.0,0.0,INR
105,105,2026-06-18 15:08:58,UPI,Paid,TPPAYE04L55ZODN,29240.0,0.0,INR
106,106,2026-08-09 10:01:21,UPI,Paid,TPPAYO5J3HUV2LK,30624.0,0.0,INR
107,107,2026-07-28 15:31:00,Credit Card,Paid,TPPAYEH8AF9JBOQ,32778.0,0.0,INR
108,108,2026-06-28 20:59:18,UPI,Paid,TPPAY1IU3FY74R4,49465.0,0.0,INR
109,109,2025-12-31 02:07:22,UPI,Paid,TPPAYH57F9RN8GQ,14356.0,0.0,INR
110,110,2026-06-29 14:30:21,UPI,Paid,TPPAY8UAB2SX471,122249.6,0.0,INR
111,111,2026-09-06 22:04:30,Debit Card,Paid,TPPAYM4T3SEJFGN,99705.0,0.0,INR
112,112,2026-07-28 14:16:53,Debit Card,Paid,TPPAY0K1RP8H2N4,82672.0,0.0,INR
113,113,2026-08-16 23:59:45,UPI,Pending,TPPAYW6IIM337KV,0.0,0.0,INR
114,114,2026-06-18 14:43:51,UPI,Paid,TPPAY0T7K4S7ZES,121686.0,0.0,INR
115,115,2026-09-02 23:23:39,UPI,Pending,TPPAYT7Y4BG4AEG,0.0,0.0,INR
116,116,2023-12-26 12:11:44,UPI,Paid,TPPAYS9FJNRDCXO,34099.2,0.0,INR
117,117,2026-08-27 05:28:06,Debit Card,Paid,TPPAYENVXFMPNSQ,52335.0,0.0,INR
118,118,2023-10-13 15:09:15,UPI,Paid,TPPAY1EGDK7KN7N,18072.0,0.0,INR
119,119,2026-06-10 16:36:02,UPI,Paid,TPPAYRKUN0TTWUS,58328.1,0.0,INR
120,120,2026-08-21 01:41:50,UPI,Paid,TPPAY15BVBTJCJ3,46634.4,0.0,INR
121,121,2026-06-11 04:23:40,UPI,Paid,TPPAYWDRRBE9WDZ,33567.0,0.0,INR
122,122,2026-08-19 02:47:12,UPI,Paid,TPPAYLELE6L3R0E,155530.0,0.0,INR
123,123,2025-03-12 01:45:27,UPI,Paid,TPPAYQT2K6YSLRY,72309.6,0.0,INR
124,124,2024-12-08 03:28:42,Debit Card,Paid,TPPAYILT15IV3LU,59668.2,0.0,INR
125,125,2026-06-14 14:38:35,UPI,Pending,TPPAYET0MJKQOYP,0.0,0.0,INR
126,126,2026-08-28 07:28:39,Debit Card,Refunded,TPPAYVA7K4TBN0K,162248.0,162248.0,INR
127,127,2026-07-22 08:52:45,Debit Card,Paid,TPPAY4G5RQG0JC7,132252.0,0.0,INR
128,128,2025-10-04 11:16:15,Debit Card,Paid,TPPAY95UNOA43HS,16824.0,0.0,INR
129,129,2025-12-11 02:12:27,Credit Card,Paid,TPPAY2QY1DQCT7E,34818.0,0.0,INR
130,130,2023-10-12 22:01:47,Credit Card,Paid,TPPAYB6MITLWIRE,177304.2,0.0,INR
131,131,2024-11-16 09:16:11,Credit Card,Paid,TPPAYOP0O833KQC,139032.0,0.0,INR
132,132,2026-07-29 14:26:21,UPI,Paid,TPPAYQ8H3PVCFHW,86226.0,0.0,INR
133,133,2026-07-19 00:03:59,Credit Card,Paid,TPPAYYJY9BLKRS5,72446.4,0.0,INR
134,134,2026-09-03 10:12:31,UPI,Paid,TPPAYMQMIKSQY9U,50187.0,0.0,INR
135,135,2026-07-16 01:54:18,UPI,Paid,TPPAY9QGOUIKVJW,120065.75,0.0,INR
136,136,2024-02-02 11:34:30,UPI,Paid,TPPAY4EHFTGJW0A,124424.0,0.0,INR
137,137,2026-06-17 18:32:50,Credit Card,Paid,TPPAYEVMLBG76AE,177304.2,0.0,INR
138,138,2026-06-20 06:29:11,Credit Card,Paid,TPPAYEL0X53VG94,119646.0,0.0,INR
139,139,2026-07-29 04:47:56,Credit Card,Refunded,TPPAYVNRZFEST9L,21534.0,21534.0,INR
140,140,2026-08-04 04:00:50,UPI,Paid,TPPAY184SBL9XGV,30896.85,0.0,INR
141,141,2026-08-28 04:52:50,Credit Card,Paid,TPPAY9ABPT0IEBM,77505.0,0.0,INR
142,142,2024-06-10 00:08:17,Net Banking,Paid,TPPAYVJ2R64KCEA,36252.0,0.0,INR
143,143,2026-07-31 23:23:56,Debit Card,Paid,TPPAY0ZPRHZXMB2,35559.0,0.0,INR
144,144,2024-10-06 20:51:00,UPI,Refunded,TPPAYBWLUR0PFWZ,21548.0,21548.0,INR
145,145,2024-07-08 11:40:54,Debit Card,Paid,TPPAYGZB8I631PT,24642.0,0.0,INR
146,146,2025-09-26 12:37:48,Wallet,Paid,TPPAYHS5BD7AOS2,59823.0,0.0,INR
147,147,2026-07-15 11:55:48,UPI,Paid,TPPAYFJOUVWPXME,130212.0,0.0,INR
148,148,2026-01-15 05:22:08,Debit Card,Paid,TPPAYPVBKRVSSUO,79764.0,0.0,INR
149,149,2025-05-16 13:46:51,UPI,Paid,TPPAYRDCDWFXDQ8,25668.0,0.0,INR
150,150,2026-06-26 01:43:41,Debit Card,Refunded,TPPAY8PTJRG7NNO,57296.0,57296.0,INR
151,151,2026-09-03 17:59:14,UPI,Paid,TPPAYL9RXZVEZS5,58580.0,0.0,INR
152,152,2026-08-22 02:03:47,UPI,Paid,TPPAYWNF4SREQHD,48250.0,0.0,INR
153,153,2025-01-29 03:56:01,Net Banking,Paid,TPPAY6T6VK0M0BG,58328.1,0.0,INR
154,154,2026-06-12 18:16:55,UPI,Refunded,TPPAYHPRY5SX15W,110869.75,110869.75,INR
155,155,2026-08-11 15:45:28,UPI,Pending,TPPAYV8WNSW066S,0.0,0.0,INR
156,156,2026-07-20 16:29:27,UPI,Refunded,TPPAYBV8H09RFY4,14814.0,14814.0,INR
157,157,2026-08-10 19:50:28,Debit Card,Pending,TPPAYL107197ZW1,0.0,0.0,INR
158,158,2025-04-01 10:49:15,Net Banking,Paid,TPPAY32CDC5JD65,12030.0,0.0,INR
159,159,2026-08-31 05:31:37,UPI,Paid,TPPAY1ZTEKDQ88Q,77962.0,0.0,INR
160,160,2026-06-14 02:55:35,Credit Card,Paid,TPPAYIDV95CUALF,37420.0,0.0,INR
161,161,2026-07-11 22:41:08,Debit Card,Paid,TPPAYV0V3IHVZMO,35559.0,0.0,INR
162,162,2023-09-18 11:00:13,Credit Card,Paid,TPPAYZ42I7OGGGL,119646.0,0.0,INR
163,163,2026-07-27 02:17:53,Credit Card,Paid,TPPAYWFK3P3SLKO,79764.0,0.0,INR
164,164,2026-07-12 10:54:10,UPI,Paid,TPPAY9YL6X17VE2,26784.0,0.0,INR
165,165,2025-10-26 14:09:04,Net Banking,Paid,TPPAYIFFV02C3D6,15379.2,0.0,INR
166,166,2024-11-23 19:30:03,Credit Card,Paid,TPPAYC61VEAKWMU,35348.0,0.0,INR
167,167,2025-09-01 00:33:06,Debit Card,Paid,TPPAYV17EGV6ZW8,73990.8,0.0,INR
168,168,2024-08-28 10:14:49,UPI,Paid,TPPAYIQOTA95WWF,38136.8,0.0,INR
169,169,2023-11-04 12:39:01,Debit Card,Paid,TPPAY3CGNUS5QW7,72309.6,0.0,INR
170,170,2026-07-17 03:19:27,Credit Card,Paid,TPPAYS5EU36CI09,103340.0,0.0,INR
171,171,2026-06-01 15:20:59,UPI,Paid,TPPAY2EWOYBLQP6,34176.0,0.0,INR
172,172,2026-07-28 16:54:06,Net Banking,Pending,TPPAY8GW3H5K2FB,0.0,0.0,INR
173,173,2023-10-30 10:35:58,Debit Card,Refunded,TPPAYU6E8MX7PFM,49145.6,49145.6,INR
174,174,2024-05-30 10:23:40,Debit Card,Paid,TPPAYOEGMWE5FAC,22378.0,0.0,INR
175,175,2026-08-07 23:30:02,UPI,Refunded,TPPAYPQX5ZZ882B,46458.0,46458.0,INR
176,176,2025-09-06 05:01:30,Credit Card,Paid,TPPAYRKOKAPCUVJ,53940.0,0.0,INR
177,177,2026-01-21 18:26:13,Debit Card,Paid,TPPAYQVE3ZOTCBP,151662.0,0.0,INR
178,178,2026-06-21 09:02:59,UPI,Paid,TPPAYQXSU5N6R8D,54797.4,0.0,INR
179,179,2026-08-11 11:38:36,Credit Card,Pending,TPPAYQ4ZV0RTWUU,0.0,0.0,INR
180,180,2026-07-17 10:01:49,UPI,Paid,TPPAYZ4HO434OYP,97660.0,0.0,INR
181,181,2025-12-26 17:25:56,Net Banking,Paid,TPPAYLZ9X048FZZ,69549.5,0.0,INR
182,182,2024-02-10 22:57:01,UPI,Paid,TPPAYZFNAIPXH4V,30045.8,0.0,INR
183,183,2026-07-27 09:58:56,Net Banking,Paid,TPPAY233C35B33M,46037.0,0.0,INR
184,184,2025-08-02 17:11:31,UPI,Paid,TPPAY51JV2M5F72,17219.7,0.0,INR
185,185,2026-07-01 01:27:37,Net Banking,Pending,TPPAYFDMDUVQ8XI,0.0,0.0,INR
186,186,2026-06-10 17:36:08,UPI,Refunded,TPPAYKLBGPZB5MD,81310.0,81310.0,INR
187,187,2026-07-19 01:10:22,Credit Card,Paid,TPPAY6DKYXIOVI4,35292.0,0.0,INR
188,188,2026-07-12 16:16:22,UPI,Paid,TPPAYKZ6Q9R4AT4,20506.25,0.0,INR
189,189,2026-08-26 02:04:08,UPI,Paid,TPPAYAYRI7J5676,44292.0,0.0,INR
190,190,2026-07-09 15:22:08,UPI,Pending,TPPAYDID0UXIYPP,0.0,0.0,INR
191,191,2026-09-05 10:04:00,UPI,Paid,TPPAYJS8TQVFHR6,36144.0,0.0,INR
192,192,2023-10-29 07:00:04,UPI,Paid,TPPAYPS59RA178R,61052.4,0.0,INR
193,193,2024-06-06 06:25:50,UPI,Paid,TPPAYTFVANIZD51,113336.0,0.0,INR
194,194,2026-06-10 15:54:04,Credit Card,Paid,TPPAYYZQEIRV4KC,77962.0,0.0,INR
195,195,2026-06-28 19:48:06,Debit Card,Paid,TPPAYEP0AR8EDMC,25810.0,0.0,INR
196,196,2026-06-22 02:54:48,Credit Card,Paid,TPPAYFR8M7Z8K7S,104535.9,0.0,INR
197,197,2023-10-06 23:30:25,UPI,Paid,TPPAYNBQM5KH1ZK,97660.0,0.0,INR
198,198,2026-03-01 21:43:10,UPI,Paid,TPPAYLGFOE2OBPJ,55805.4,0.0,INR
199,199,2026-07-17 22:17:19,UPI,Refunded,TPPAYTB6KCOYS2R,123701.4,123701.4,INR
200,200,2025-11-09 13:37:20,UPI,Paid,TPPAYK7EU7OLH5B,81745.2,0.0,INR
201,201,2026-06-30 20:18:00,Debit Card,Pending,TPPAYXKA0RDIB39,0.0,0.0,INR
202,202,2026-03-01 03:15:22,UPI,Pending,TPPAYK4B34JVA4B,50187.0,0.0,INR
203,203,2026-06-23 16:44:13,Net Banking,Paid,TPPAYVNSCPC3GZ6,42653.0,0.0,INR
204,204,2026-07-24 02:32:36,Credit Card,Paid,TPPAYASNC925VRA,42177.6,0.0,INR
205,205,2023-12-14 14:32:55,UPI,Paid,TPPAYE7LS74PI6X,14356.0,0.0,INR
206,206,2025-12-30 17:41:34,UPI,Paid,TPPAYPAKYSFYOFC,121686.0,0.0,INR
207,207,2025-11-30 13:54:16,Credit Card,Paid,TPPAYFTW14POW94,146420.0,0.0,INR
208,208,2026-08-10 12:08:25,Debit Card,Paid,TPPAYPNEONKDOI0,108850.0,0.0,INR
209,209,2026-06-26 23:24:38,UPI,Paid,TPPAYK7OA12FEEL,77434.0,0.0,INR
210,210,2026-08-22 23:27:23,Credit Card,Paid,TPPAYHOHPM6S29B,92097.0,0.0,INR
211,211,2026-07-12 06:34:50,UPI,Paid,TPPAYWQKM93S0A5,20088.0,0.0,INR
212,212,2026-08-22 00:14:56,Debit Card,Paid,TPPAY9NZ4255WT6,36144.0,0.0,INR
213,213,2026-08-12 12:24:09,Debit Card,Paid,TPPAYJ4Y0IJ9AY2,40165.0,0.0,INR
214,214,2026-07-06 01:09:14,UPI,Refunded,TPPAYIZ6YUK7Q1H,84120.0,84120.0,INR
215,215,2024-08-21 23:26:41,Net Banking,Paid,TPPAY9RP61XLGQA,21208.8,0.0,INR
216,216,2026-07-24 08:38:34,UPI,Paid,TPPAYZCNP1NDW6Y,9472.0,0.0,INR
217,217,2026-08-05 10:30:44,Debit Card,Paid,TPPAYZUC47RIKJJ,71620.0,0.0,INR
218,218,2025-05-01 02:38:06,Debit Card,Paid,TPPAYBTAP202RO0,10437.65,0.0,INR
219,219,2026-09-05 14:13:09,Debit Card,Paid,TPPAYYCOOGKGX4H,41518.8,0.0,INR
220,220,2023-11-08 23:58:32,UPI,Paid,TPPAY57N0AO0NN0,93364.0,0.0,INR
221,221,2025-09-01 22:55:37,UPI,Paid,TPPAYNO53P9MB0J,16476.4,0.0,INR
222,222,2026-05-29 20:09:46,UPI,Refunded,TPPAYX5K3O7DW0U,16222.0,16222.0,INR
223,223,2026-06-11 21:47:31,Debit Card,Paid,TPPAYZYHRWS54X7,9063.0,0.0,INR
224,224,2026-06-18 20:57:17,Debit Card,Paid,TPPAY57ET33Z6DI,35292.0,0.0,INR
225,225,2026-07-09 20:13:02,Net Banking,Paid,TPPAYKLN4TPNZLV,43840.6,0.0,INR
226,226,2026-08-12 04:46:23,Credit Card,Paid,TPPAYS80TZYDAH4,21974.0,0.0,INR
227,227,2026-07-14 03:32:42,UPI,Refunded,TPPAYC3W1UUODOM,51816.0,51816.0,INR
228,228,2026-07-26 02:32:46,Credit Card,Refunded,TPPAYD6O2RKKCRR,87080.0,51816.0,INR
229,229,2024-11-17 01:03:37,UPI,Refunded,TPPAYI9GND2HZAW,20088.0,20088.0,INR
230,230,2026-06-14 18:46:40,Net Banking,Paid,TPPAYN5P0KT5YGG,70980.0,0.0,INR
231,231,2026-08-06 15:24:39,UPI,Paid,TPPAYZS8OPSAHND,94640.0,0.0,INR
232,232,2026-07-24 23:08:21,Net Banking,Refunded,TPPAYX4Y5RXPXZ0,131637.8,131637.8,INR
233,233,2026-07-16 06:29:47,Credit Card,Paid,TPPAYMSQ30ZH1PK,60886.0,0.0,INR
234,234,2025-06-16 02:41:01,UPI,Paid,TPPAY5TG653AKI0,126041.4,0.0,INR
235,235,2026-07-02 10:33:37,Credit Card,Paid,TPPAYRJHOQXX9RE,131898.0,0.0,INR
236,236,2024-01-27 12:37:13,UPI,Paid,TPPAYMWJWJ4AUNZ,35348.0,0.0,INR
237,237,2026-07-14 08:36:40,Debit Card,Refunded,TPPAY1K5FXPXELK,155010.0,155010.0,INR
238,238,2026-08-02 00:44:57,UPI,Paid,TPPAY9VC28K1KHJ,51469.2,0.0,INR
239,239,2025-08-01 21:49:38,UPI,Paid,TPPAYNE6DYGG9ZT,162248.0,0.0,INR
240,240,2024-04-21 12:42:38,UPI,Paid,TPPAY1MQRYJN04M,90997.2,0.0,INR
241,241,2026-07-11 08:04:40,UPI,Paid,TPPAYYI0AGNITG5,116943.0,0.0,INR
242,242,2026-08-26 11:33:35,UPI,Paid,TPPAYYWHBJ95ISY,130572.0,0.0,INR
243,243,2026-08-01 03:02:55,Debit Card,Paid,TPPAYPPFYMBD5C2,13380.0,0.0,INR
244,244,2024-12-31 16:58:35,Debit Card,Refunded,TPPAY446DB1WBMA,17674.0,17674.0,INR
245,245,2026-09-04 12:43:31,UPI,Pending,TPPAYVUYNW316MT,0.0,0.0,INR
246,246,2023-10-23 06:54:21,Credit Card,Paid,TPPAYOSESJ8IVJZ,65433.0,0.0,INR
247,247,2026-04-04 15:01:58,Credit Card,Paid,TPPAYBM5VQ76VKE,12415.55,0.0,INR
248,248,2026-01-29 16:11:28,Net Banking,Paid,TPPAYWQZMKK375M,140046.0,0.0,INR
249,249,2026-07-23 09:53:23,Credit Card,Paid,TPPAYIGP802BL2W,75831.0,0.0,INR
250,250,2024-03-27 20:49:06,UPI,Paid,TPPAYRX5OE2K8TB,46991.75,0.0,INR
251,251,2026-07-01 22:36:29,Credit Card,Paid,TPPAYOKUS3G7I65,62161.35,0.0,INR
252,252,2026-06-28 17:41:57,UPI,Paid,TPPAY4B9VTPIXKB,23068.8,0.0,INR
253,253,2026-06-18 11:55:34,Wallet,Paid,TPPAY15Q98G7ZCZ,23432.0,0.0,INR
254,254,2026-08-30 23:46:20,Debit Card,Pending,TPPAYO2ONOBLA8Q,0.0,0.0,INR
255,255,2024-01-03 06:31:30,Credit Card,Paid,TPPAYBK81FUS06F,109815.0,0.0,INR
256,256,2026-06-23 04:03:02,Credit Card,Pending,TPPAYGH4FW8HOLF,0.0,0.0,INR
257,257,2026-04-13 11:23:34,Debit Card,Paid,TPPAYEYRZGJ09DR,150964.0,0.0,INR
258,258,2025-06-19 00:31:23,UPI,Paid,TPPAYWZEC1TWKTV,103820.0,0.0,INR
