customer_campaign_id,customer_id,campaign_id,acquisition_date,first_touch,conversion_date
89,89,1,2024-08-22,Organic Search,2024-08-28
90,90,4,2024-01-24,Paid Ads,2024-02-17
91,91,14,2026-04-18,Organic Search,2026-04-28
92,92,7,2023-12-15,Direct,2023-12-18
93,93,11,2026-01-01,Organic Search,2026-01-18
94,94,14,2026-05-04,Paid Ads,2026-05-15
95,95,21,2026-05-10,Direct,2026-05-15
96,96,14,2026-05-09,Organic Search,2026-05-19
97,97,11,2025-12-24,Organic Search,2026-01-10
98,98,3,2025-09-18,Paid Ads,2025-10-08
99,99,26,2025-09-21,Organic Search,2025-09-22
100,100,25,2025-08-18,Paid Ads,2025-09-17
101,101,23,2024-06-11,Paid Ads,2024-06-24
102,102,14,2026-04-21,Direct,2026-04-25
103,103,20,2025-11-06,Organic Search,2025-11-15
104,104,28,2024-10-25,Direct,2024-11-03
105,105,6,2023-10-09,Organic Search,2023-10-12
106,106,25,2025-07-30,Paid Ads,2025-08-22
107,107,28,2024-11-11,Organic Search,2024-11-19
108,108,3,2025-09-27,Organic Search,2025-10-17
109,109,8,2024-01-10,Organic Search,2024-01-19
110,110,4,2024-01-17,Email,2024-01-31
111,111,21,2026-04-27,Direct,2026-05-05
112,112,15,2024-09-11,Paid Ads,2024-09-16
113,113,6,2023-10-14,Paid Ads,2023-11-01
114,114,17,2026-06-16,Paid Ads,2026-07-04
115,115,6,2023-09-30,Email,2023-10-01
116,116,24,2025-05-28,Paid Ads,2025-06-27
117,117,13,2026-01-25,Paid Ads,2026-01-31
118,118,12,2024-03-28,Paid Ads,2024-04-01
119,119,27,2025-06-26,Paid Ads,2025-07-03
120,120,19,2025-09-25,Paid Ads,2025-10-10
121,121,28,2024-11-13,Organic Search,2024-11-14
122,122,29,2024-09-16,Email,2024-09-29
123,123,9,2025-05-22,Paid Ads,2025-06-18
124,124,6,2023-10-26,Direct,2023-11-05
125,125,21,2026-04-28,Organic Search,2026-05-03
126,126,5,2024-01-11,Direct,2024-01-12
127,127,4,2024-01-18,Organic Search,2024-01-20
128,128,25,2025-08-17,Organic Search,2025-09-11
129,129,1,2024-08-12,Paid Ads,2024-09-04
130,130,27,2025-06-17,Paid Ads,2025-07-08
131,131,15,2024-09-14,Organic Search,2024-10-12
132,132,15,2024-09-18,Email,2024-10-03
133,133,3,2025-09-18,Paid Ads,2025-10-12
134,134,8,2024-01-10,Paid Ads,2024-02-03
135,135,13,2026-02-02,Organic Search,2026-03-03
136,136,13,2026-01-27,Paid Ads,2026-02-15
137,137,9,2025-06-04,Paid Ads,2025-06-17
138,138,26,2025-09-17,Direct,2025-10-06
139,139,29,2024-09-30,Paid Ads,2024-10-26
140,140,7,2023-12-26,Organic Search,2023-12-31
141,141,3,2025-09-27,Organic Search,2025-10-08
142,142,11,2026-01-22,Paid Ads,2026-02-06
143,143,14,2026-04-16,Organic Search,2026-05-14
144,144,17,2026-06-18,Paid Ads,2026-07-03
145,145,20,2025-11-04,Organic Search,2025-11-10
146,146,15,2024-09-15,Organic Search,2024-10-02
147,147,21,2026-05-09,Organic Search,2026-05-12
148,148,7,2024-01-16,Paid Ads,2024-02-12
149,149,30,2026-05-24,Paid Ads,2026-06-13
150,150,30,2026-05-22,Email,2026-06-11
151,151,28,2024-11-10,Email,2024-11-14
152,152,1,2024-08-10,Paid Ads,2024-08-14
153,153,12,2024-03-22,Paid Ads,2024-04-10
154,154,21,2026-05-03,Organic Search,2026-05-25
155,155,29,2024-09-20,Organic Search,2024-09-24
156,156,2,2025-09-26,Organic Search,2025-10-06
157,157,7,2023-12-20,Direct,2024-01-11
158,158,17,2026-06-20,Email,2026-07-19
159,159,20,2025-11-03,Paid Ads,2025-11-27
160,160,18,2025-11-27,Paid Ads,2025-12-19
161,161,6,2023-09-29,Organic Search,2023-10-09
162,162,17,2026-06-13,Organic Search,2026-07-01
163,163,17,2026-06-20,Paid Ads,2026-07-05
164,164,28,2024-10-10,Paid Ads,2024-10-14
165,165,9,2025-05-17,Email,2025-06-14
166,166,15,2024-09-18,Paid Ads,2024-10-05
167,167,4,2024-01-24,Organic Search,2024-02-16
168,168,7,2023-12-29,Paid Ads,2024-01-05
169,169,24,2025-06-27,Direct,2025-07-17
170,170,21,2026-05-05,Direct,2026-06-03
171,171,2,2025-10-05,Organic Search,2025-10-22
172,172,21,2026-05-04,Paid Ads,2026-05-17
173,173,16,2025-05-26,Organic Search,2025-06-13
174,174,16,2025-04-15,Organic Search,2025-05-01
175,175,24,2025-06-04,Email,2025-06-04
176,176,22,2026-08-13,Organic Search,2026-08-22
177,177,7,2023-12-21,Organic Search,2024-01-18
178,178,28,2024-11-09,Organic Search,2024-11-19
179,179,11,2026-01-19,Paid Ads,2026-01-27
180,180,20,2025-11-23,Organic Search,2025-12-10
181,181,7,2024-01-10,Direct,2024-01-16
182,182,19,2025-10-26,Organic Search,2025-11-06
183,183,10,2024-05-14,Direct,2024-06-09
184,184,4,2024-01-27,Paid Ads,2024-02-19
185,185,6,2023-10-06,Email,2023-10-09
186,186,9,2025-05-17,Organic Search,2025-05-20
187,187,20,2025-11-23,Paid Ads,2025-11-24
188,188,23,2024-06-11,Paid Ads,2024-07-03
189,189,30,2026-05-22,Direct,2026-05-25
190,190,2,2025-10-12,Direct,2025-11-05
191,191,22,2026-08-16,Organic Search,2026-08-26
192,192,30,2026-05-17,Organic Search,2026-06-15
193,193,18,2025-12-03,Email,2025-12-20
194,194,17,2026-06-19,Organic Search,2026-07-13
195,195,22,2026-08-12,Organic Search,2026-08-17
196,196,1,2024-08-05,Organic Search,2024-08-28
197,197,20,2025-11-14,Paid Ads,2025-11-18
198,198,7,2023-12-10,Email,2023-12-14
199,199,25,2025-08-11,Paid Ads,2025-09-07
200,200,10,2024-05-12,Direct,2024-06-08
201,201,20,2025-11-06,Organic Search,2025-11-16
202,202,12,2024-03-19,Direct,2024-04-06
203,203,1,2024-08-12,Direct,2024-08-30
204,204,2,2025-10-15,Paid Ads,2025-11-11
205,205,25,2025-08-15,Paid Ads,2025-08-25
206,206,1,2024-08-05,Email,2024-08-15
207,207,25,2025-08-17,Organic Search,2025-08-18
208,208,28,2024-11-02,Paid Ads,2024-11-02
209,209,15,2024-09-22,Paid Ads,2024-09-28
210,210,26,2025-09-22,Paid Ads,2025-09-26
211,211,26,2025-09-14,Direct,2025-09-19
212,212,30,2026-05-22,Organic Search,2026-06-07
213,213,26,2025-09-21,Direct,2025-09-22
214,214,21,2026-04-26,Email,2026-05-07
215,215,9,2025-05-13,Paid Ads,2025-05-14
216,216,1,2024-09-09,Organic Search,2024-09-16
217,217,27,2025-06-28,Direct,2025-07-25
218,218,11,2026-01-21,Organic Search,2026-01-26
219,219,29,2024-09-23,Paid Ads,2024-09-23
220,220,12,2024-04-06,Direct,2024-05-03
221,221,9,2025-05-20,Organic Search,2025-06-07
222,222,27,2025-06-21,Paid Ads,2025-07-19
223,223,1,2024-08-14,Organic Search,2024-09-12
224,224,4,2024-01-17,Organic Search,2024-02-01
225,225,1,2024-08-18,Organic Search,2024-09-10
226,226,25,2025-08-08,Paid Ads,2025-08-13
227,227,1,2024-08-09,Paid Ads,2024-08-27
228,228,8,2024-01-07,Email,2024-01-11
229,229,4,2024-01-19,Organic Search,2024-01-31
230,230,25,2025-08-18,Organic Search,2025-09-05
231,231,30,2026-05-17,Email,2026-05-27
232,232,2,2025-10-13,Paid Ads,2025-10-15
233,233,22,2026-08-08,Direct,2026-08-23
234,234,9,2025-05-22,Paid Ads,2025-06-01
235,235,6,2023-10-30,Email,2023-11-18
236,236,13,2026-01-30,Paid Ads,2026-02-18
237,237,29,2024-09-21,Organic Search,2024-10-04
238,238,24,2025-06-15,Organic Search,2025-07-05
239,239,11,2026-01-11,Email,2026-02-03
240,240,1,2024-08-13,Paid Ads,2024-08-30
241,241,4,2024-01-17,Direct,2024-02-04
242,242,20,2025-11-25,Paid Ads,2025-12-24
243,243,4,2024-01-21,Organic Search,2024-02-07
244,244,6,2023-11-01,Organic Search,2023-12-01
245,245,21,2026-05-01,Organic Search,2026-05-07
246,246,16,2025-04-30,Paid Ads,2025-05-06
247,247,2,2025-10-03,Organic Search,2025-10-18
248,248,3,2025-10-04,Organic Search,2025-10-11
249,249,2,2025-10-01,Organic Search,2025-10-11
250,250,22,2026-08-17,Paid Ads,2026-08-30
251,251,10,2024-05-16,Organic Search,2024-06-12
252,252,8,2024-01-09,Email,2024-01-29
253,253,26,2025-09-14,Organic Search,2025-09-26
254,254,2,2025-10-09,Paid Ads,2025-11-04
255,255,23,2024-06-24,Organic Search,2024-06-24
256,256,16,2025-05-07,Paid Ads,2025-06-04
257,257,20,2025-11-07,Organic Search,2025-11-25
258,258,18,2025-12-02,Paid Ads,2025-12-28
259,259,21,2026-04-28,Organic Search,2026-05-10
260,260,28,2024-11-11,Organic Search,2024-11-28
261,261,26,2025-09-16,Email,2025-09-29
262,262,19,2025-10-16,Organic Search,2025-11-14
263,263,25,2025-08-17,Paid Ads,2025-08-23
264,264,23,2024-06-09,Paid Ads,2024-06-25
265,265,25,2025-08-07,Paid Ads,2025-08-11
266,266,12,2024-03-19,Paid Ads,2024-04-07
267,267,8,2024-01-13,Paid Ads,2024-01-14
268,268,15,2024-09-25,Organic Search,2024-10-11
269,269,13,2026-01-30,Paid Ads,2026-02-28
270,270,22,2026-08-12,Email,2026-08-20
271,271,1,2024-08-15,Paid Ads,2024-09-10
272,272,22,2026-08-15,Paid Ads,2026-09-09
273,273,5,2024-01-30,Organic Search,2024-02-11
274,274,30,2026-05-19,Paid Ads,2026-06-08
275,275,8,2024-01-08,Organic Search,2024-01-28
276,276,3,2025-09-18,Paid Ads,2025-10-13
277,277,28,2024-10-29,Paid Ads,2024-11-07
278,278,19,2025-11-03,Paid Ads,2025-11-15
279,279,30,2026-05-18,Organic Search,2026-06-02
280,280,5,2024-02-09,Paid Ads,2024-02-12
281,281,30,2026-05-19,Direct,2026-05-23
282,282,9,2025-06-16,Paid Ads,2025-06-22
283,283,22,2026-08-16,Organic Search,2026-08-26
284,284,19,2025-10-24,Direct,2025-11-22
285,285,28,2024-10-09,Organic Search,2024-11-06
286,286,19,2025-11-06,Paid Ads,2025-12-02
287,287,27,2025-06-14,Paid Ads,2025-06-18
288,288,12,2024-04-10,Email,2024-04-15
289,289,14,2026-04-27,Organic Search,2026-05-06
290,290,5,2024-02-01,Paid Ads,2024-02-03
291,291,27,2025-06-26,Direct,2025-07-10
292,292,24,2025-06-21,Organic Search,2025-07-13
293,293,20,2025-11-21,Paid Ads,2025-12-13
294,294,20,2025-11-13,Organic Search,2025-12-05
295,295,27,2025-06-06,Paid Ads,2025-06-16
296,296,26,2025-09-16,Direct,2025-09-22
297,297,25,2025-08-02,Paid Ads,2025-08-30
298,298,25,2025-08-16,Organic Search,2025-08-28
299,299,21,2026-04-30,Organic Search,2026-05-12
300,300,25,2025-08-07,Paid Ads,2025-08-25
301,301,22,2026-08-14,Organic Search,2026-08-27
302,302,6,2023-10-01,Organic Search,2023-10-28
303,303,23,2024-06-17,Paid Ads,2024-07-07
304,304,20,2025-11-26,Organic Search,2025-12-19
305,305,19,2025-10-16,Email,2025-10-31
306,306,1,2024-08-13,Organic Search,2024-09-11
307,307,13,2026-01-31,Paid Ads,2026-02-18
308,308,16,2025-04-30,Paid Ads,2025-05-30
309,309,3,2025-09-19,Organic Search,2025-10-04
310,310,19,2025-10-17,Direct,2025-10-18
311,311,25,2025-08-12,Direct,2025-09-09
312,312,21,2026-04-30,Paid Ads,2026-05-03
313,313,20,2025-11-11,Direct,2025-11-19
314,314,23,2024-06-29,Paid Ads,2024-07-23
315,315,18,2025-11-28,Direct,2025-12-06
316,316,21,2026-04-27,Paid Ads,2026-05-09
317,317,3,2025-10-04,Paid Ads,2025-10-18
318,318,29,2024-09-16,Organic Search,2024-09-22
319,319,13,2026-01-23,Paid Ads,2026-02-08
320,320,14,2026-04-11,Organic Search,2026-04-25
321,321,8,2024-01-09,Paid Ads,2024-01-15
322,322,10,2024-05-18,Paid Ads,2024-06-08
323,323,13,2026-01-26,Paid Ads,2026-02-07
324,324,3,2025-09-30,Paid Ads,2025-09-30
325,325,6,2023-10-22,Paid Ads,2023-10-28
326,326,26,2025-09-16,Paid Ads,2025-10-07
327,327,14,2026-05-06,Direct,2026-05-11
328,328,20,2025-11-19,Organic Search,2025-11-22
329,329,4,2024-01-26,Paid Ads,2024-02-14
330,330,29,2024-09-30,Organic Search,2024-10-18
331,331,30,2026-05-22,Email,2026-06-13
332,332,27,2025-06-11,Paid Ads,2025-07-08
333,333,22,2026-08-16,Organic Search,2026-09-03
334,334,16,2025-04-18,Organic Search,2025-05-14
335,335,11,2025-12-23,Paid Ads,2026-01-14
336,336,29,2024-09-07,Organic Search,2024-09-08
337,337,26,2025-09-14,Email,2025-09-30
338,338,7,2023-12-16,Organic Search,2024-01-08
339,339,23,2024-06-19,Direct,2024-07-19
340,340,19,2025-10-23,Organic Search,2025-11-11
341,341,15,2024-09-20,Organic Search,2024-10-04
342,342,12,2024-03-21,Paid Ads,2024-04-16
343,343,27,2025-06-22,Direct,2025-06-24
344,344,28,2024-10-26,Organic Search,2024-10-29
345,345,6,2023-10-07,Direct,2023-10-26
346,346,25,2025-08-16,Organic Search,2025-09-04
347,347,25,2025-08-06,Paid Ads,2025-09-04
348,348,24,2025-07-02,Direct,2025-07-29
349,349,7,2023-12-16,Organic Search,2023-12-31
350,350,3,2025-09-27,Direct,2025-10-25
351,351,28,2024-10-21,Organic Search,2024-11-09
352,352,22,2026-08-12,Paid Ads,2026-09-06
353,353,18,2025-11-28,Organic Search,2025-12-13
354,354,26,2025-09-16,Paid Ads,2025-10-14
355,355,30,2026-05-20,Paid Ads,2026-06-09
356,356,26,2025-09-20,Direct,2025-10-11
357,357,19,2025-10-14,Organic Search,2025-11-13
358,358,19,2025-10-15,Direct,2025-11-13
359,359,1,2024-08-30,Paid Ads,2024-09-19
360,360,11,2026-01-12,Paid Ads,2026-01-15
361,361,6,2023-10-11,Organic Search,2023-11-09
362,362,9,2025-06-24,Direct,2025-07-21
363,363,4,2024-01-24,Organic Search,2024-02-05
364,364,23,2024-06-24,Direct,2024-07-21
365,365,19,2025-10-25,Direct,2025-11-11
366,366,6,2023-09-28,Paid Ads,2023-09-28
367,367,16,2025-05-01,Email,2025-05-04
368,368,2,2025-10-11,Organic Search,2025-10-13
369,369,25,2025-07-29,Organic Search,2025-07-30
370,370,6,2023-10-16,Paid Ads,2023-10-25
371,371,7,2023-12-13,Paid Ads,2024-01-10
372,372,8,2024-01-10,Paid Ads,2024-01-26
373,373,15,2024-09-13,Organic Search,2024-09-23
374,374,17,2026-06-19,Organic Search,2026-06-20
375,375,13,2026-02-02,Paid Ads,2026-02-22
376,376,24,2025-06-09,Email,2025-07-02
377,377,17,2026-06-15,Paid Ads,2026-06-21
378,378,5,2024-01-11,Paid Ads,2024-01-11
379,379,26,2025-09-16,Direct,2025-10-12
380,380,16,2025-05-22,Paid Ads,2025-06-21
381,381,6,2023-10-09,Direct,2023-11-03
382,382,7,2024-01-07,Organic Search,2024-01-21
383,383,21,2026-05-02,Organic Search,2026-05-11
384,384,2,2025-10-08,Paid Ads,2025-11-07
385,385,30,2026-05-20,Organic Search,2026-06-05
386,386,3,2025-09-28,Organic Search,2025-10-13
387,387,25,2025-07-29,Organic Search,2025-08-03
388,388,28,2024-10-22,Organic Search,2024-11-06
389,389,22,2026-08-17,Paid Ads,2026-09-08
390,390,10,2024-05-14,Paid Ads,2024-05-17
391,391,27,2025-06-04,Email,2025-06-24
392,392,8,2024-01-10,Organic Search,2024-01-31
393,393,8,2024-01-14,Paid Ads,2024-02-05
394,394,22,2026-08-15,Paid Ads,2026-08-20
395,395,4,2024-01-19,Email,2024-02-15
396,396,16,2025-05-17,Organic Search,2025-06-10
397,397,18,2025-11-29,Organic Search,2025-12-20
398,398,17,2026-06-16,Organic Search,2026-07-10
399,399,29,2024-09-11,Organic Search,2024-09-26
400,400,3,2025-09-22,Email,2025-09-28
401,401,30,2026-05-23,Paid Ads,2026-06-02
402,402,15,2024-09-25,Email,2024-10-17
403,403,29,2024-09-12,Direct,2024-09-25
404,404,25,2025-08-18,Paid Ads,2025-09-14
405,405,5,2024-01-18,Email,2024-02-17
406,406,13,2026-01-30,Direct,2026-02-07
407,407,23,2024-06-19,Paid Ads,2024-06-30
408,408,20,2025-11-13,Email,2025-12-10
409,409,28,2024-10-20,Paid Ads,2024-11-19
410,410,18,2025-12-06,Paid Ads,2025-12-22
411,411,16,2025-05-07,Direct,2025-05-11
412,412,14,2026-04-15,Organic Search,2026-05-03
413,413,15,2024-09-15,Paid Ads,2024-10-05
414,414,8,2024-01-12,Direct,2024-02-03
415,415,9,2025-06-08,Organic Search,2025-06-30
416,416,2,2025-09-26,Organic Search,2025-10-19
417,417,26,2025-09-12,Organic Search,2025-10-03
418,418,5,2024-02-11,Organic Search,2024-02-11
419,419,22,2026-08-17,Organic Search,2026-08-25
420,420,7,2023-12-17,Organic Search,2024-01-15
421,421,13,2026-01-23,Paid Ads,2026-01-24
422,422,7,2023-12-30,Paid Ads,2024-01-14
423,423,19,2025-11-04,Organic Search,2025-11-18
424,424,30,2026-05-25,Paid Ads,2026-05-27
425,425,8,2024-01-10,Paid Ads,2024-01-25
426,426,27,2025-06-22,Direct,2025-07-01
427,427,22,2026-08-16,Organic Search,2026-09-05
428,428,15,2024-09-13,Email,2024-09-29
429,429,29,2024-09-08,Direct,2024-09-20
430,430,27,2025-06-14,Paid Ads,2025-07-08
431,431,8,2024-01-09,Direct,2024-02-02
432,432,3,2025-10-05,Email,2025-11-02
433,433,14,2026-04-17,Direct,2026-04-30
434,434,29,2024-10-02,Email,2024-10-03
435,435,8,2024-01-09,Paid Ads,2024-02-06
436,436,4,2024-01-17,Paid Ads,2024-01-22
437,437,19,2025-10-09,Email,2025-10-28
438,438,2,2025-10-02,Paid Ads,2025-10-06
439,439,27,2025-06-11,Paid Ads,2025-06-16
440,440,4,2024-01-18,Paid Ads,2024-02-14
441,441,23,2024-06-13,Paid Ads,2024-06-23
442,442,12,2024-04-04,Paid Ads,2024-04-25
443,443,10,2024-05-11,Email,2024-05-29
444,444,2,2025-10-13,Organic Search,2025-10-22
445,445,30,2026-05-22,Paid Ads,2026-06-06
446,446,24,2025-06-15,Paid Ads,2025-07-02
447,447,28,2024-10-23,Organic Search,2024-11-11
448,448,25,2025-08-07,Paid Ads,2025-08-28
449,449,15,2024-09-22,Paid Ads,2024-10-21
450,450,11,2026-01-08,Organic Search,2026-01-27
451,451,17,2026-06-18,Organic Search,2026-07-06
452,452,12,2024-03-19,Paid Ads,2024-04-09
453,453,7,2023-12-16,Organic Search,2024-01-12
454,454,3,2025-09-29,Direct,2025-10-11
455,455,17,2026-06-13,Organic Search,2026-06-13
456,456,9,2025-05-14,Paid Ads,2025-06-06
457,457,1,2024-08-22,Paid Ads,2024-08-27
458,458,28,2024-10-23,Organic Search,2024-10-24
459,459,2,2025-10-15,Paid Ads,2025-11-06
460,460,12,2024-04-12,Organic Search,2024-05-04
461,461,19,2025-11-01,Paid Ads,2025-11-25
462,462,24,2025-05-23,Organic Search,2025-05-27
463,463,27,2025-06-03,Paid Ads,2025-06-14
464,464,2,2025-10-05,Paid Ads,2025-10-10
465,465,30,2026-05-25,Organic Search,2026-06-08
466,466,28,2024-10-12,Paid Ads,2024-10-15
467,467,3,2025-10-03,Organic Search,2025-10-14
468,468,9,2025-05-20,Email,2025-06-13
469,469,22,2026-08-03,Direct,2026-08-30
470,470,2,2025-10-12,Paid Ads,2025-11-09
471,471,17,2026-06-19,Organic Search,2026-06-20
472,472,14,2026-04-26,Organic Search,2026-05-05
473,473,11,2026-01-04,Paid Ads,2026-01-20
474,474,17,2026-06-18,Organic Search,2026-07-15
475,475,20,2025-11-14,Organic Search,2025-11-16
476,476,7,2024-01-02,Organic Search,2024-01-07
477,477,23,2024-06-05,Organic Search,2024-06-18
478,478,27,2025-06-05,Paid Ads,2025-06-21
479,479,26,2025-09-23,Paid Ads,2025-10-13
480,480,1,2024-09-01,Paid Ads,2024-09-19
481,481,12,2024-04-11,Paid Ads,2024-04-12
482,482,1,2024-08-09,Organic Search,2024-08-15
483,483,18,2025-12-04,Paid Ads,2025-12-08
484,484,26,2025-09-18,Email,2025-09-25
485,485,20,2025-11-07,Organic Search,2025-11-26
486,486,8,2024-01-09,Direct,2024-01-14
487,487,12,2024-04-11,Direct,2024-04-17
488,488,18,2025-11-27,Paid Ads,2025-12-23
489,489,24,2025-05-29,Paid Ads,2025-06-26
490,490,22,2026-08-08,Email,2026-09-01
491,491,14,2026-04-13,Organic Search,2026-05-09
492,492,28,2024-11-09,Organic Search,2024-12-06
493,493,30,2026-05-20,Organic Search,2026-06-05
494,494,10,2024-05-10,Organic Search,2024-05-25
495,495,10,2024-05-18,Email,2024-05-20
496,496,14,2026-04-15,Paid Ads,2026-05-10
497,497,6,2023-10-01,Organic Search,2023-10-15
498,498,5,2024-01-12,Organic Search,2024-01-31
499,499,7,2023-12-31,Paid Ads,2024-01-20
500,500,7,2023-12-10,Email,2023-12-19
501,501,17,2026-06-13,Paid Ads,2026-07-11
502,502,12,2024-03-23,Organic Search,2024-03-23
503,503,20,2025-11-15,Organic Search,2025-12-13
504,504,24,2025-06-23,Paid Ads,2025-06-25
505,505,6,2023-10-05,Email,2023-10-08
506,506,20,2025-11-06,Direct,2025-11-16
507,507,5,2024-01-24,Paid Ads,2024-02-22
508,508,30,2026-05-22,Paid Ads,2026-05-30
509,509,30,2026-05-23,Organic Search,2026-06-03
510,510,24,2025-05-31,Organic Search,2025-06-30
511,511,20,2025-11-28,Direct,2025-12-15
512,512,10,2024-05-12,Email,2024-05-15
513,513,25,2025-07-30,Email,2025-08-19
514,514,19,2025-11-05,Organic Search,2025-11-10
515,515,8,2024-01-10,Organic Search,2024-01-14
516,516,27,2025-06-10,Direct,2025-06-11
517,517,18,2025-11-29,Organic Search,2025-12-12
518,518,20,2025-11-04,Paid Ads,2025-11-06
519,519,9,2025-05-25,Organic Search,2025-06-05
520,520,29,2024-10-03,Paid Ads,2024-11-01
521,521,12,2024-04-14,Email,2024-04-24
522,522,8,2024-01-12,Paid Ads,2024-01-21
523,523,19,2025-10-08,Paid Ads,2025-10-18
524,524,13,2026-01-30,Paid Ads,2026-02-27
525,525,19,2025-10-06,Organic Search,2025-10-09
526,526,28,2024-10-10,Organic Search,2024-10-25
527,527,20,2025-11-17,Paid Ads,2025-12-10
528,528,12,2024-04-06,Paid Ads,2024-04-15
529,529,15,2024-09-19,Organic Search,2024-09-27
530,530,9,2025-06-21,Direct,2025-06-24
531,531,8,2024-01-08,Paid Ads,2024-02-01
532,532,6,2023-09-30,Paid Ads,2023-10-07
533,533,26,2025-09-21,Paid Ads,2025-09-22
534,534,16,2025-04-22,Organic Search,2025-05-02
535,535,20,2025-11-16,Organic Search,2025-11-19
536,536,7,2023-12-12,Organic Search,2024-01-07
537,537,24,2025-06-04,Direct,2025-06-23
538,538,20,2025-11-08,Direct,2025-11-29
539,539,20,2025-11-29,Email,2025-12-19
540,540,11,2026-01-29,Paid Ads,2026-02-05
